year,period,potus,houseOfRep,fedChair
2010,M07,D,D,R
2010,M08,D,D,R
2010,M09,D,D,R
2010,M10,D,D,R
2010,M11,D,D,R
2010,M12,D,D,R
2011,M01,D,D,R
2011,M02,D,R,R
2011,M03,D,R,R
2011,M04,D,R,R
2011,M05,D,R,R
2011,M06,D,R,R
2011,M07,D,R,R
2011,M08,D,R,R
2011,M09,D,R,R
2011,M10,D,R,R
2011,M11,D,R,R
2011,M12,D,R,R
2012,M01,D,R,R
2012,M02,D,R,R
2012,M03,D,R,R
2012,M04,D,R,R
2012,M05,D,R,R
2012,M06,D,R,R
2012,M07,D,R,R
2012,M08,D,R,R
2012,M09,D,R,R
2012,M10,D,R,R
2012,M11,D,R,R
2012,M12,D,R,R
2013,M01,D,R,R
2013,M02,D,R,R
2013,M03,D,R,R
2013,M04,D,R,R
2013,M05,D,R,R
2013,M06,D,R,R
2013,M07,D,R,R
2013,M08,D,R,R
2013,M09,D,R,R
2013,M10,D,R,R
2013,M11,D,R,R
2013,M12,D,R,R
2014,M01,D,R,R
2014,M02,D,R,R
2014,M03,D,R,D
2014,M04,D,R,D
2014,M05,D,R,D
2014,M06,D,R,D
2014,M07,D,R,D
2014,M08,D,R,D
2014,M09,D,R,D
2014,M10,D,R,D
2014,M11,D,R,D
2014,M12,D,R,D
2015,M01,D,R,D
2015,M02,D,R,D
2015,M03,D,R,D
2015,M04,D,R,D
2015,M05,D,R,D
2015,M06,D,R,D
2015,M07,D,R,D
2015,M08,D,R,D
2015,M09,D,R,D
2015,M10,D,R,D
2015,M11,D,R,D
2015,M12,D,R,D
2016,M01,D,R,D
2016,M02,D,R,D
2016,M03,D,R,D
2016,M04,D,R,D
2016,M05,D,R,D
2016,M06,D,R,D
2016,M07,D,R,D
2016,M08,D,R,D
2016,M09,D,R,D
2016,M10,D,R,D
2016,M11,D,R,D
2016,M12,D,R,D
2017,M01,D,R,D
2017,M02,R,R,D
2017,M03,R,R,D
2017,M04,R,R,D
2017,M05,R,R,D
2017,M06,R,R,D
2017,M07,R,R,D
2017,M08,R,R,D
